,users,followingRatio,order,freq,pcaInput,_1,_2,features,probability,prediction
0,0126c792-ca6a-61a6-a96a-42bf5fc1,0.5,0.75,0.0,"[0.5,0.75,0.0]",-0.7597502893506931,0.48505618007766726,"[-0.7597502893506931,0.48505618007766726]","[2.278354433874215e-16,4.087135635576503e-05,0.9999591286436438,2.278354433874215e-16]",2
1,012d8099-01c6-f99f-55ef-151df7a5,0.3333333333333333,0.4,0.0,"[0.3333333333333333,0.4,0.0]",-0.4662190080421007,0.23184250613584828,"[-0.4662190080421007,0.23184250613584828]","[1.9518609200030753e-16,1.951860920003131e-16,0.9999999999999994,1.9518609200030753e-16]",2
2,01d960ae-5d88-45e9-e235-6f68599c,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.3180946544095793,0.5124709572423517,"[-1.3180946544095793,0.5124709572423517]","[6.3472160843077424e-24,1.2315489123800024e-13,6.3472704067109454e-24,0.9999999999998769]",3
3,0f165b85-0670-e6ac-bf14-cf00655a,0.16666666666666666,1.0,0.0,"[0.16666666666666666,1.0,0.0]",-0.5553589828879414,0.8481474977286966,"[-0.5553589828879414,0.8481474977286966]","[1.0788211708250829e-16,0.9999999999999996,1.1119217913058478e-16,1.0788211708250829e-16]",1
4,14b19a02-38a5-992d-2f4f-aebd2315,1.0,0.0,0.0,"[1.0,0.0,0.0]",-0.9152828058259654,-0.40281184858361385,"[-0.9152828058259654,-0.40281184858361385]","[1.0,1.6285270054777893e-29,1.6285270054777893e-29,7.663332256156145e-24]",0
5,25a03b67-3ce1-77fc-c715-72ba385a,0.16666666666666666,0.9090909090909092,0.0,"[0.16666666666666666,0.9090909090909092,0.0]",-0.5187397239257947,0.7649399699263362,"[-0.5187397239257947,0.7649399699263362]","[1.2229771565895696e-16,0.9999999999999986,1.2368444410682953e-15,1.2229771565895696e-16]",1
6,2888b741-780e-2c51-0772-617d7c33,0.5,0.5833333333333334,0.0,"[0.5,0.5833333333333334,0.0]",-0.6926149812534241,0.33250904577333973,"[-0.6926149812534241,0.33250904577333973]","[3.1855335702640223e-16,9.369884636403831e-15,0.99999999999999,3.1855335702640223e-16]",2
7,2c89fe15-af0e-a900-7384-29f556d1,0.5,1.0,0.0,"[0.5,1.0,0.0]",-0.8604532514965966,0.7138768815341586,"[-0.8604532514965966,0.7138768815341586]","[4.8578411586166445e-17,0.9817373466304806,0.018262653369519422,4.8578411586166445e-17]",1
8,2fba9116-a20d-ea5f-3980-a0c4226c,0.5,1.0,0.0,"[0.5,1.0,0.0]",-0.8604532514965966,0.7138768815341586,"[-0.8604532514965966,0.7138768815341586]","[4.8578411586166445e-17,0.9817373466304806,0.018262653369519422,4.8578411586166445e-17]",1
9,32c9bec6-bd73-18c6-9611-148b7b0e,0.5,1.0,0.0,"[0.5,1.0,0.0]",-0.8604532514965966,0.7138768815341586,"[-0.8604532514965966,0.7138768815341586]","[4.8578411586166445e-17,0.9817373466304806,0.018262653369519422,4.8578411586166445e-17]",1
10,3469f507-2f62-0e43-70e8-0c4bc6e3,0.5,0.9090909090909092,0.0,"[0.5,0.9090909090909092,0.0]",-0.8238339925344499,0.6306693537317982,"[-0.8238339925344499,0.6306693537317982]","[1.2794938438753012e-16,0.822688672384471,0.17731132761552876,1.2794938438753012e-16]",1
11,3db3466c-e5e5-3bc2-d72b-8fa46cd2,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.3180946544095793,0.5124709572423517,"[-1.3180946544095793,0.5124709572423517]","[6.3472160843077424e-24,1.2315489123800024e-13,6.3472704067109454e-24,0.9999999999998769]",3
12,427905ff-8519-fc73-90ee-17ecae10,1.0,0.75,0.0,"[1.0,0.75,0.0]",-1.2173916922636758,0.28365025578586034,"[-1.2173916922636758,0.28365025578586034]","[3.221295292644969e-23,8.268181234894079e-20,3.22129529264938e-23,1.0]",3
13,461e7201-9b62-2da4-aca6-9bc7e2aa,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.3180946544095793,0.5124709572423517,"[-1.3180946544095793,0.5124709572423517]","[6.3472160843077424e-24,1.2315489123800024e-13,6.3472704067109454e-24,0.9999999999998769]",3
14,4fa0f410-5265-9be6-be9d-778ee66d,1.0,0.75,0.0,"[1.0,0.75,0.0]",-1.2173916922636758,0.28365025578586034,"[-1.2173916922636758,0.28365025578586034]","[3.221295292644969e-23,8.268181234894079e-20,3.22129529264938e-23,1.0]",3
15,52656cee-d479-aed9-c14a-94a33208,1.0,1.0,0.0,"[1.0,1.0,0.0]",-1.3180946544095793,0.5124709572423517,"[-1.3180946544095793,0.5124709572423517]","[6.3472160843077424e-24,1.2315489123800024e-13,6.3472704067109454e-24,0.9999999999998769]",3
